Date,Open,High,Low,Close,Adj Close,Volume
2013-06-24,0.659722,0.659722,0.659722,0.659722,0.033905,9360
2013-06-25,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-06-26,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-06-27,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-06-28,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-01,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-02,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-03,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-05,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-08,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-09,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-10,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-11,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-12,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-15,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-16,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-17,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-18,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-19,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-22,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-23,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-24,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-25,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-26,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-29,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-30,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-07-31,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-01,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-02,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-05,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-06,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-07,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-08,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-09,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-12,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-13,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-14,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-15,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-16,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-19,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-20,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-21,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-22,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-23,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-26,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-27,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-28,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-29,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-08-30,0.659722,0.659722,0.659722,0.659722,0.033905,0
2013-09-03,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-09-04,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-09-05,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-09-06,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-09-09,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-09-10,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-09-11,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-09-12,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-09-13,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-09-16,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-09-17,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-09-18,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-09-19,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-09-20,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-09-23,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-09-24,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-09-25,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-09-26,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-09-27,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-09-30,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-01,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-02,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-03,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-04,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-07,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-08,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-09,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-10,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-11,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-14,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-15,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-16,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-17,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-18,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-21,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-22,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-23,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-24,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-25,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-28,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-29,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-30,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-10-31,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-11-01,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-11-04,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-11-05,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-11-06,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-11-07,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-11-08,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-11-11,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-11-12,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-11-13,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-11-14,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-11-15,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-11-18,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-11-19,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-11-20,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-11-21,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-11-22,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-11-25,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-11-26,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-11-27,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-11-29,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-02,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-03,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-04,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-05,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-06,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-09,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-10,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-11,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-12,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-13,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-16,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-17,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-18,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-19,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-20,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-23,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-24,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-26,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-27,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-30,0.659722,0.659722,0.659722,0.659722,0.041591,0
2013-12-31,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-02,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-03,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-06,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-07,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-08,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-09,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-10,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-13,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-14,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-15,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-16,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-17,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-21,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-22,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-23,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-24,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-27,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-28,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-29,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-30,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-01-31,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-02-03,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-02-04,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-02-05,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-02-06,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-02-07,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-02-10,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-02-11,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-02-12,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-02-13,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-02-14,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-02-18,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-02-19,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-02-20,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-02-21,0.659722,0.659722,0.659722,0.659722,0.041591,0
2014-02-24,0.715277,0.715277,0.715277,0.715277,0.045094,7616
2014-02-25,0.715277,0.715277,0.715277,0.715277,0.045094,0
2014-02-26,0.708333,0.708333,0.708333,0.708333,0.044656,1440
2014-02-27,0.708333,0.708333,0.708333,0.708333,0.044656,0
2014-02-28,0.708333,0.708333,0.708333,0.708333,0.044656,0
2014-03-03,0.708333,0.708333,0.708333,0.708333,0.044656,0
2014-03-04,0.708333,0.708333,0.708333,0.708333,0.044656,0
2014-03-05,0.708333,0.708333,0.708333,0.708333,0.044656,0
2014-03-06,0.708333,0.708333,0.708333,0.708333,0.044656,0
2014-03-07,0.708333,0.708333,0.708333,0.708333,0.044656,0
