Date,Open,High,Low,Close,Adj Close,Volume
2013-04-16,0.108000,0.108000,0.108000,0.108000,0.108000,5000
2013-04-17,0.107200,0.107200,0.107200,0.107200,0.107200,2500
2013-04-18,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-04-19,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-04-22,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-04-23,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-04-24,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-04-25,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-04-26,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-04-29,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-04-30,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-01,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-02,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-03,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-06,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-07,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-08,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-09,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-10,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-13,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-14,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-15,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-16,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-17,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-20,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-21,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-22,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-23,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-24,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-28,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-29,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-30,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-05-31,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-06-03,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-06-04,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-06-05,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-06-06,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-06-07,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-06-10,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-06-11,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-06-12,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-06-13,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-06-14,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-06-17,0.107200,0.107200,0.107200,0.107200,0.107200,0
2013-06-18,0.100000,0.100000,0.100000,0.100000,0.100000,2500
2013-06-19,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-06-20,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-06-21,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-06-24,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-06-25,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-06-26,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-06-27,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-06-28,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-02,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-03,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-05,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-08,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-09,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-10,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-11,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-12,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-15,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-16,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-17,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-18,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-19,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-22,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-23,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-24,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-25,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-26,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-29,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-30,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-07-31,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-08-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-08-02,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-08-05,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-08-06,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-08-07,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-08-08,0.100000,0.100000,0.100000,0.100000,0.100000,0
2013-08-09,0.048400,0.048400,0.048400,0.048400,0.048400,175
2013-08-12,0.048400,0.048400,0.048400,0.048400,0.048400,0
2013-08-13,0.048400,0.048400,0.048400,0.048400,0.048400,0
2013-08-14,0.048400,0.048400,0.048400,0.048400,0.048400,0
2013-08-15,0.048400,0.048400,0.048400,0.048400,0.048400,0
2013-08-16,0.048400,0.048400,0.048400,0.048400,0.048400,0
2013-08-19,0.048400,0.048400,0.048400,0.048400,0.048400,0
2013-08-20,0.048400,0.048400,0.048400,0.048400,0.048400,0
2013-08-21,0.048400,0.048400,0.048400,0.048400,0.048400,0
2013-08-22,0.048400,0.048400,0.048400,0.048400,0.048400,0
2013-08-23,0.052000,0.052000,0.052000,0.052000,0.052000,2616
2013-08-26,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-08-27,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-08-28,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-08-29,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-08-30,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-09-03,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-09-04,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-09-05,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-09-06,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-09-09,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-09-10,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-09-11,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-09-12,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-09-13,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-09-16,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-09-17,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-09-18,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-09-19,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-09-20,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-09-23,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-09-24,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-09-25,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-09-26,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-09-27,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-09-30,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-10-01,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-10-02,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-10-03,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-10-04,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-10-07,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-10-08,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-10-09,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-10-10,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-10-11,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-10-14,0.052000,0.052000,0.052000,0.052000,0.052000,0
2013-10-15,0.052000,0.052000,0.052000,0.052000,0.052000,0
