Date,Open,High,Low,Close,Adj Close,Volume
2018-04-06,0.420000,0.420000,0.420000,0.420000,0.420000,13050
2018-04-09,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-04-10,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-04-11,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-04-12,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-04-13,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-04-16,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-04-17,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-04-18,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-04-19,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-04-20,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-04-23,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-04-24,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-04-25,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-04-26,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-04-27,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-04-30,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-05-01,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-05-02,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-05-03,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-05-04,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-05-07,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-05-08,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-05-09,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-05-10,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-05-11,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-05-14,0.420000,0.420000,0.420000,0.420000,0.420000,0
2018-05-15,0.420000,0.340000,0.340000,0.340000,0.340000,5000
2018-05-16,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-05-17,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-05-18,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-05-21,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-05-22,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-05-23,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-05-24,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-05-25,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-05-29,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-05-30,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-05-31,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-01,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-04,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-05,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-06,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-07,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-08,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-11,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-12,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-13,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-14,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-15,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-18,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-19,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-20,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-21,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-22,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-25,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-26,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-27,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-28,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-06-29,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-02,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-03,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-05,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-06,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-09,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-10,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-11,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-12,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-13,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-16,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-17,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-18,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-19,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-20,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-23,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-24,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-25,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-26,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-27,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-30,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-07-31,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-01,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-02,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-03,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-06,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-07,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-08,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-09,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-10,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-13,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-14,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-15,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-16,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-17,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-20,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-21,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-22,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-23,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-24,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-27,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-28,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-29,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-30,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-08-31,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-09-04,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-09-05,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-09-06,0.340000,0.340000,0.340000,0.340000,0.340000,0
2018-09-07,0.340000,0.340000,0.340000,0.340000,0.340000,0
